timestamp_iso,hora_legible,evento,detalle
2026-09-23T11:39:30.572924,11:39:30,CAP_PLACEMENT_START,
2026-09-23T11:40:58.392422,11:40:58,RECORDING_START,
2026-09-23T11:41:00.425038,11:41:00,CAP_GREEN_STABLE,
2026-09-23T11:41:11.150614,11:41:11,BASELINE1_EC_START,
2026-09-23T11:42:17.714506,11:42:17,BASELINE1_EC_END,
2026-09-23T11:42:21.227900,11:42:21,BASELINE1_EO_START,
2026-09-23T11:42:41.441240,11:42:41,NOTE,043 s rec reposo EO
2026-09-23T11:42:51.943097,11:42:51,CAP_GREEN_STABLE,
2026-09-23T11:43:02.220674,11:43:02,NOTE,buena señal recuperada
2026-09-23T11:43:16.207753,11:43:16,BASELINE1_EO_END,
2026-09-23T11:45:19.914081,11:45:19,NOTE,disconnected lol
2026-09-23T11:46:13.219862,11:46:13,RECORDING_START,
2026-09-23T11:46:18.416676,11:46:18,READING1_START,
2026-09-23T11:47:12.067610,11:47:12,NOTE,señal sumamente errante despues de recuperar conexion
2026-09-23T11:47:42.806672,11:47:42,NOTE,225 s rec reading 1
2026-09-23T11:48:34.913995,11:48:34,NOTE,todos los canales errantes
2026-09-23T11:50:03.463522,11:50:03,NOTE,unico canal rescatable es ch 1
2026-09-23T11:51:25.885940,11:51:25,READING1_END,
2026-09-23T11:53:01.728132,11:53:01,SCROLL_FEED_START,
2026-09-23T11:54:03.742734,11:54:03,CAP_GREEN_STABLE,
2026-09-23T11:54:14.360562,11:54:14,NOTE,5 15 en s rec croll feed mejora
2026-09-23T11:54:54.159381,11:54:54,NOTE,unicos ch perdidos 5 y 7
2026-09-23T11:55:07.673717,11:55:07,NOTE,"perdimos todos los channels, cambo postural"
2026-09-23T11:55:39.486262,11:55:39,NOTE,"ruido de fondo, conversaciones, distractores. a considerar en post procesamiento"
2026-09-23T11:56:11.935001,11:56:11,SCROLL_FEED_END,
2026-09-23T11:56:22.566428,11:56:22,SCROLL_REELS_START,
2026-09-23T11:56:36.461580,11:56:36,NOTE,perdimos canales
2026-09-23T11:57:12.752151,11:57:12,NOTE,se rie lol
2026-09-23T11:57:15.819152,11:57:15,CAP_GREEN_STABLE,
2026-09-23T11:59:09.629051,11:59:09,NOTE,7 50 rescatable en scroll reels
2026-09-23T11:59:20.575230,11:59:20,SCROLL_REELS_END,
2026-09-23T12:00:19.558343,12:00:19,BASELINE2_EC_START,
2026-09-23T12:00:37.492981,12:00:37,NOTE,segundo baseline en 8 05
2026-09-23T12:01:26.353087,12:01:26,NOTE,canales erraticos ch 4 5 y 7
2026-09-23T12:01:41.264226,12:01:41,BASELINE2_EO_START,
2026-09-23T12:01:49.546898,12:01:49,NOTE,se me fue el eyes opened
2026-09-23T12:02:03.630017,12:02:03,NOTE,9 06 eyes opened
2026-09-23T12:02:24.419397,12:02:24,BASELINE2_EO_END,
2026-09-23T12:03:27.365701,12:03:27,READING2_START,
2026-09-23T12:03:54.592199,12:03:54,NOTE,le cuesta mucho estar quieto
2026-09-23T12:04:09.901117,12:04:09,NOTE,reading 2 en 9 46
2026-09-23T12:05:17.990370,12:05:17,CAP_GREEN_STABLE,
2026-09-23T12:05:30.843779,12:05:30,NOTE,11 02 buen prospecto en reading 2
2026-09-23T12:05:33.880554,12:05:33,CAP_GREEN_STABLE,
2026-09-23T12:05:38.781308,12:05:38,NOTE,recuperamos canales menos 5
2026-09-23T12:06:30.337035,12:06:30,READING2_END,
2026-09-23T12:06:49.806098,12:06:49,NOTE,recording ends
2026-09-23T12:13:02.146252,12:13:02,SESSION_END,
