timestamp_iso,hora_legible,evento,detalle
2026-09-23T12:15:59.069586,12:15:59,HAIR_CHECK_START,
2026-09-23T12:21:50.437918,12:21:50,CAP_GREEN_STABLE,
2026-09-23T12:22:38.363532,12:22:38,NOTE,hablando de algo que le apasiona
2026-09-23T12:23:11.242274,12:23:11,RECORDING_START,
2026-09-23T12:23:20.867874,12:23:20,BASELINE1_EC_START,
2026-09-23T12:23:41.783451,12:23:41,CAP_GREEN_STABLE,
2026-09-23T12:23:50.785532,12:23:50,NOTE,el baseline más hermoso que he visto.
2026-09-23T12:24:23.793093,12:24:23,NOTE,emoiezo a grabar rostro en
2026-09-23T12:24:29.936292,12:24:29,BASELINE1_EC_END,
2026-09-23T12:24:32.761672,12:24:32,BASELINE1_EO_START,
2026-09-23T12:24:48.036081,12:24:48,NOTE,0 59 berger effect
2026-09-23T12:25:26.934413,12:25:26,NOTE,a sinc
2026-09-23T12:25:28.815760,12:25:28,BASELINE2_EO_END,
2026-09-23T12:26:19.475470,12:26:19,READING1_START,
2026-09-23T12:26:31.246411,12:26:31,NOTE,me equivoque de baseline
2026-09-23T12:26:42.720049,12:26:42,NOTE,2 50 reading 1 s rec
2026-09-23T12:27:10.654858,12:27:10,NOTE,sync clarisima omg
2026-09-23T12:27:54.900932,12:27:54,NOTE,"batería baja, esperemos que dure"
2026-09-23T12:28:41.099547,12:28:41,CAP_GREEN_STABLE,
2026-09-23T12:28:44.690537,12:28:44,NOTE,señal perfecta
2026-09-23T12:30:43.917996,12:30:43,NOTE,ultimo min de lectura en 0 55 en s rec
2026-09-23T12:31:15.749860,12:31:15,READING1_END,
2026-09-23T12:31:52.577303,12:31:52,SCROLL_FEED_START,
2026-09-23T12:32:11.773419,12:32:11,NOTE,inicia scroll feed en 6 35 s rec
2026-09-23T12:32:32.349328,12:32:32,NOTE,empezamos a perder algunos canales
2026-09-23T12:33:22.857800,12:33:22,NOTE,cierta sync en channel 5?
2026-09-23T12:34:35.817429,12:34:35,CAP_GREEN_STABLE,
2026-09-23T12:34:42.197543,12:34:42,NOTE,perfecta señal constante
2026-09-23T12:34:49.245239,12:34:49,SCROLL_FEED_END,
2026-09-23T12:34:58.358660,12:34:58,SCROLL_REELS_START,
2026-09-23T12:35:11.752675,12:35:11,NOTE,9 45 en s rec reels
2026-09-23T12:35:55.103739,12:35:55,NOTE,sutiles rafagas de ruido
2026-09-23T12:37:07.911157,12:37:07,NOTE,11 24 prometedor en s rec
2026-09-23T12:37:56.513757,12:37:56,SCROLL_REELS_END,
2026-09-23T12:38:28.725692,12:38:28,BASELINE2_EC_START,
2026-09-23T12:38:52.126286,12:38:52,NOTE,13 00 sincronizacion ec baseline srec
2026-09-23T12:39:30.144530,12:39:30,BASELINE2_EC_END,
2026-09-23T12:39:33.469100,12:39:33,BASELINE2_EO_START,
2026-09-23T12:39:45.008401,12:39:45,NOTE,ruidp exterior cercano
2026-09-23T12:40:03.000585,12:40:03,NOTE,14 10 baseline eyes open
2026-09-23T12:40:42.043086,12:40:42,BASELINE2_EO_END,
2026-09-23T12:41:06.753291,12:41:06,READING2_START,
2026-09-23T12:41:22.041364,12:41:22,NOTE,min 15 empezamos a leer
2026-09-23T12:42:22.458259,12:42:22,NOTE,sinc lindisima en min 16
2026-09-23T12:42:49.025662,12:42:49,NOTE,tose en 16 24
2026-09-23T12:43:52.205967,12:43:52,NOTE,el sonido / ruido de conversaciones sigue
2026-09-23T12:44:03.443938,12:44:03,READING2_END,
2026-09-23T12:44:09.569993,12:44:09,NOTE,recording stops
2026-09-23T12:57:06.624916,12:57:06,SESSION_END,
