timestamp_iso,hora_legible,evento,detalle
2026-09-21T11:54:30.745178,11:54:30,SESSION_START,
2026-09-21T11:58:58.610472,11:58:58,CAP_PLACEMENT_START,
2026-09-21T12:00:58.268874,12:00:58,CAP_GREEN_STABLE,
2026-09-21T12:01:08.414817,12:01:08,NOTE,1 3 y 4 mala imoedancia
2026-09-21T12:01:40.830731,12:01:40,CAP_GREEN_STABLE,
2026-09-21T12:02:10.936290,12:02:10,BASELINE1_EC_START,
2026-09-21T12:02:37.895037,12:02:37,RECORDING_START,
2026-09-21T12:02:41.702687,12:02:41,BASELINE1_EC_START,
2026-09-21T12:03:03.018999,12:03:03,BASELINE1_EC_END,
2026-09-21T12:03:07.526901,12:03:07,BASELINE1_EO_START,
2026-09-21T12:03:12.318691,12:03:12,BASELINE1_EO_END,
2026-09-21T12:03:39.039384,12:03:39,NOTE,"parpados afectan mucho impedancia, anda ansioso."
2026-09-21T12:04:05.472331,12:04:05,BASELINE1_EO_END,
2026-09-21T12:05:38.008547,12:05:38,CAP_GREEN_STABLE,
2026-09-21T12:05:43.821395,12:05:43,READING1_START,
2026-09-21T12:06:57.991257,12:06:57,NOTE,sorpresivamente excelente señal a pesar de desnidad de cabello.
2026-09-21T12:10:12.176160,12:10:12,NOTE,respiraciones fuertes introduciendo ruido.
2026-09-21T12:10:48.939451,12:10:48,READING1_END,
2026-09-21T12:12:29.586830,12:12:29,NOTE,"platicando, demasiada impedancia"
2026-09-21T12:15:01.989661,12:15:01,CAP_GREEN_STABLE,
2026-09-21T12:15:13.465057,12:15:13,SCROLL_FEED_START,
2026-09-21T12:15:53.618874,12:15:53,NOTE,el movimineto de manos por alguna razón está introduciendo mucho ruido
2026-09-21T12:16:31.579958,12:16:31,CAP_GREEN_STABLE,
2026-09-21T12:17:29.083806,12:17:29,NOTE,"señal en canales forntales normalizada, era postural."
2026-09-21T12:18:07.045411,12:18:07,SCROLL_FEED_END,
2026-09-21T12:18:30.608446,12:18:30,CAP_GREEN_STABLE,
2026-09-21T12:18:38.207942,12:18:38,SCROLL_REELS_START,
2026-09-21T12:19:42.833595,12:19:42,NOTE,"volumen alto, impedancia."
2026-09-21T12:19:52.706621,12:19:52,CAP_GREEN_STABLE,
2026-09-21T12:20:23.098970,12:20:23,CAP_GREEN_STABLE,
2026-09-21T12:21:26.509956,12:21:26,SCROLL_REELS_END,
2026-09-21T12:21:52.775158,12:21:52,NOTE,n
2026-09-21T12:22:56.624891,12:22:56,BASELINE2_EC_START,
2026-09-21T12:23:07.094772,12:23:07,NOTE,atrasado 5 secs el start
2026-09-21T12:24:37.057971,12:24:37,NOTE,desconexión ayuda
2026-09-21T12:25:25.421098,12:25:25,BASELINE2_EC_START,
2026-09-21T12:26:11.658833,12:26:11,CAP_GREEN_STABLE,
2026-09-21T12:26:21.933553,12:26:21,NOTE,4 y 5 problematicos
2026-09-21T12:26:28.804169,12:26:28,BASELINE2_EC_END,
2026-09-21T12:26:31.410141,12:26:31,BASELINE2_EO_START,
2026-09-21T12:26:47.007153,12:26:47,NOTE,c4 prob.
2026-09-21T12:26:48.216964,12:26:48,CAP_GREEN_STABLE,
2026-09-21T12:27:38.610601,12:27:38,NOTE,acamodo postural
2026-09-21T12:27:43.282392,12:27:43,BASELINE2_EO_END,
2026-09-21T12:28:37.970299,12:28:37,CAP_GREEN_STABLE,
2026-09-21T12:28:45.728279,12:28:45,READING2_START,
2026-09-21T12:29:10.342288,12:29:10,NOTE,"demasiada impedancia , pero postura quieta."
2026-09-21T12:29:16.192125,12:29:16,CAP_GREEN_STABLE,
2026-09-21T12:30:45.262022,12:30:45,NOTE,impedancia excesva.. ¿suspiros?
2026-09-21T12:31:15.283423,12:31:15,CAP_GREEN_STABLE,
2026-09-21T12:32:11.812644,12:32:11,NOTE,"impedancia en canales 3, 4 5  sin saber por qué"
2026-09-21T12:33:30.222330,12:33:30,CAP_GREEN_STABLE,
2026-09-21T12:33:38.622158,12:33:38,READING2_END,
