timestamp_iso,hora_legible,evento,detalle
2026-09-21T11:01:30.562807,11:01:30,SESSION_START,
2026-09-21T11:01:33.026070,11:01:33,HAIR_CHECK_START,
2026-09-21T11:01:39.706825,11:01:39,HAIR_CHECK_END,
2026-09-21T11:01:48.325941,11:01:48,CAP_PLACEMENT_START,
2026-09-21T11:01:55.386672,11:01:55,CAP_GREEN_STABLE,
2026-09-21T11:04:57.460578,11:04:57,RECORDING_START,
2026-09-21T11:05:07.926119,11:05:07,ARTIFACT_TEST_START,
2026-09-21T11:05:40.783330,11:05:40,JAW_CLENCH,
2026-09-21T11:05:44.112829,11:05:44,BLINK,
2026-09-21T11:05:48.035765,11:05:48,ARTIFACT_TEST_END,
2026-09-21T11:05:54.911695,11:05:54,CAP_GREEN_STABLE,
2026-09-21T11:06:06.707412,11:06:06,NOTE,tardó bastante poco.
2026-09-21T11:06:21.268667,11:06:21,BASELINE1_EO_START,
2026-09-21T11:08:13.818270,11:08:13,BASELINE1_EO_START,
2026-09-21T11:09:12.563046,11:09:12,BASELINE1_EC_END,
2026-09-21T11:09:16.804035,11:09:16,BASELINE1_EO_START,
2026-09-21T11:10:15.523172,11:10:15,BASELINE1_EO_END,
