timestamp_iso,hora_legible,evento,detalle
2026-09-24T14:04:38.375977,14:04:38,HAIR_CHECK_END,
2026-09-24T14:05:18.685157,14:05:18,CAP_GREEN_STABLE,
2026-09-24T14:05:33.958988,14:05:33,RECORDING_START,
2026-09-24T14:05:49.773259,14:05:49,BASELINE1_EC_START,
2026-09-24T14:06:08.711147,14:06:08,CAP_GREEN_STABLE,
2026-09-24T14:06:18.392532,14:06:18,NOTE,"gran señal, en exceso gran señal"
2026-09-24T14:06:44.849452,14:06:44,NOTE,"perdimos varios canales, pero good to go"
2026-09-24T14:06:52.589245,14:06:52,BASELINE1_EC_END,
2026-09-24T14:06:58.038782,14:06:58,BASELINE1_EO_START,
2026-09-24T14:07:06.807341,14:07:06,CAP_GREEN_STABLE,
2026-09-24T14:07:21.897408,14:07:21,NOTE,minuto 1 08 eyes opened
2026-09-24T14:07:51.093258,14:07:51,BASELINE1_EO_END,
2026-09-24T14:08:38.741601,14:08:38,NOTE,recording failed
2026-09-24T14:09:39.806922,14:09:39,RECORDING_START,
2026-09-24T14:10:08.704720,14:10:08,NOTE,2 38 a 2 45 buen reading start
2026-09-24T14:10:18.633262,14:10:18,NOTE,2 50 reading 1
2026-09-24T14:11:06.436083,14:11:06,CAP_GREEN_STABLE,
2026-09-24T14:11:51.870770,14:11:51,NOTE,3 40 muy muy buen baseline de reading
2026-09-24T14:12:14.747393,14:12:14,NOTE,movimiento de pies introduce ruido momentaneo
2026-09-24T14:12:23.852696,14:12:23,NOTE,"hay ruido de fondo, sutil, A CONSIDERAR"
2026-09-24T14:13:19.310070,14:13:19,READING1_END,
2026-09-24T14:14:03.782416,14:14:03,SCROLL_FEED_START,
2026-09-24T14:14:18.390318,14:14:18,NOTE,5 54 scroll feed start
2026-09-24T14:14:40.410823,14:14:40,CAP_GREEN_STABLE,
2026-09-24T14:15:49.599780,14:15:49,NOTE,movimientos sutiles hace unos segundos en postura introducen breve ruido
2026-09-24T14:16:50.544649,14:16:50,NOTE,8 24 breve periodicidad en canales 3 a 5
2026-09-24T14:17:06.857693,14:17:06,SCROLL_FEED_END,
2026-09-24T14:17:15.217831,14:17:15,SCROLL_REELS_START,
2026-09-24T14:17:32.126276,14:17:32,NOTE,8 40 en recording scroll reels
2026-09-24T14:18:02.902306,14:18:02,NOTE,"de nuevo, movimiento de pies es ruido"
2026-09-24T14:18:56.671549,14:18:56,NOTE,10 03 se ve el cambio en amplitud
2026-09-24T14:19:58.901804,14:19:58,NOTE,baja en amp en 10 41 (aparente)
2026-09-24T14:20:25.350449,14:20:25,SCROLL_REELS_END,
2026-09-24T14:21:12.071483,14:21:12,BASELINE2_EC_START,
2026-09-24T14:21:27.422966,14:21:27,NOTE,11 28 eyes closed transition
2026-09-24T14:22:13.747471,14:22:13,BASELINE2_EC_END,
2026-09-24T14:22:17.852430,14:22:17,BASELINE2_EO_START,
2026-09-24T14:22:34.868750,14:22:34,NOTE,12 34 eyes opened baseline 2
2026-09-24T14:22:58.964602,14:22:58,NOTE,aplausos ruido externo
2026-09-24T14:23:09.652424,14:23:09,NOTE,13 05 aplausos
2026-09-24T14:23:18.160631,14:23:18,BASELINE2_EO_END,
2026-09-24T14:23:44.721839,14:23:44,READING2_START,
2026-09-24T14:24:06.288667,14:24:06,NOTE,13 46 empieza a leer 2
2026-09-24T14:24:12.170082,14:24:12,NOTE,ruido externo
2026-09-24T14:24:28.071823,14:24:28,NOTE,14 05 señal buena reading 2
2026-09-24T14:24:39.004892,14:24:39,NOTE,movimiento de pies introduce ruido
2026-09-24T14:25:50.875353,14:25:50,NOTE,movimiento postural ruido
2026-09-24T14:25:57.388059,14:25:57,READING2_END,
2026-09-24T14:26:02.987625,14:26:02,SESSION_END,
