timestamp_iso,hora_legible,evento,detalle
2026-09-21T15:34:00.666156,15:34:00,SESSION_START,
2026-09-21T15:34:02.987595,15:34:02,HAIR_CHECK_START,
2026-09-21T15:39:48.012946,15:39:48,CAP_PLACEMENT_START,
2026-09-21T15:42:14.940286,15:42:14,NOTE,canal 4 muerto
2026-09-21T15:42:44.377191,15:42:44,RECORDING_START,
2026-09-21T15:43:07.253419,15:43:07,ARTIFACT_TEST_END,
2026-09-21T15:43:10.042904,15:43:10,BASELINE1_EC_START,
2026-09-21T15:43:45.295073,15:43:45,NOTE,"ch 4 parpadenate, ch 5 mUERTO."
2026-09-21T15:44:05.937175,15:44:05,BASELINE1_EC_END,
2026-09-21T15:44:12.254204,15:44:12,BASELINE1_EO_START,
2026-09-21T15:44:42.128175,15:44:42,NOTE,"impedancia extrema, pero sin cambio postural o de cabeza."
2026-09-21T15:45:23.311383,15:45:23,BASELINE1_EO_END,
2026-09-21T15:45:36.405792,15:45:36,NOTE,interrupción de conexión
2026-09-21T15:46:31.578764,15:46:31,RECORDING_START,
2026-09-21T15:46:47.574415,15:46:47,READING1_START,
2026-09-21T15:47:58.427675,15:47:58,NOTE,"ch 3, 4, 5 muriendo,"
2026-09-21T15:48:56.137285,15:48:56,NOTE,conexion perdida
2026-09-21T15:49:03.293642,15:49:03,RECORDING_START,
2026-09-21T15:49:23.203314,15:49:23,NOTE,ch 5 recuperado
2026-09-21T15:50:47.944636,15:50:47,NOTE,"sin sincronización aparente. ch 5 perdido again, hubo movimiento leve."
2026-09-21T15:50:57.613347,15:50:57,NOTE,ch 3 recuperado
2026-09-21T15:51:19.095367,15:51:19,READING1_END,
2026-09-21T15:53:13.816561,15:53:13,CAP_GREEN_STABLE,
2026-09-21T15:53:17.761432,15:53:17,SCROLL_FEED_START,
2026-09-21T15:53:32.319360,15:53:32,NOTE,ch 4 y 5 de nuevo muertos
2026-09-21T15:55:15.878005,15:55:15,NOTE,"ch 5 demasiado ruidoso, a excluir"
2026-09-21T15:56:21.878102,15:56:21,SCROLL_FEED_END,
2026-09-21T15:56:34.982966,15:56:34,SCROLL_REELS_START,
2026-09-21T15:58:20.194716,15:58:20,NOTE,"movimiento, peérdida momentanea de señal limpia"
2026-09-21T15:58:22.070169,15:58:22,CAP_GREEN_STABLE,
2026-09-21T15:58:42.310551,15:58:42,CAP_GREEN_STABLE,
2026-09-21T15:58:59.183611,15:58:59,NOTE,"postural, sin movimiento del cuello procura la señal."
2026-09-21T15:59:36.811937,15:59:36,SCROLL_REELS_END,
2026-09-21T16:01:02.218608,16:01:02,BASELINE2_EC_START,
2026-09-21T16:01:33.435575,16:01:33,NOTE,"canal 5 perdido de nuevo, causa desconocida."
2026-09-21T16:02:03.403877,16:02:03,BASELINE2_EC_END,
2026-09-21T16:02:09.257599,16:02:09,BASELINE2_EO_START,
2026-09-21T16:03:00.106514,16:03:00,BASELINE2_EO_END,
2026-09-21T16:03:47.821144,16:03:47,READING2_START,
2026-09-21T16:04:45.527362,16:04:45,NOTE,pérdida momentanea de todos los frontales
2026-09-21T16:04:48.780973,16:04:48,CAP_GREEN_STABLE,
2026-09-21T16:05:19.857217,16:05:19,NOTE,posible razón: exceso de parpadeos
2026-09-21T16:05:33.620899,16:05:33,NOTE,"de nuevo, pérdida casi total"
2026-09-21T16:05:42.128988,16:05:42,NOTE,se movió para acomodarse
2026-09-21T16:06:27.869086,16:06:27,NOTE,"pérdida total, no se normaliza"
2026-09-21T16:07:44.820262,16:07:44,NOTE,sólo canal 2 rescatable. razón desconocida
2026-09-21T16:07:52.338640,16:07:52,CAP_GREEN_STABLE,
2026-09-21T16:08:17.844029,16:08:17,READING2_END,
2026-09-21T16:10:14.931588,16:10:14,POST_SURVEY_START,
2026-09-21T16:15:55.297080,16:15:55,SESSION_END,
