timestamp_iso,hora_legible,evento,detalle
2026-09-22T18:58:10.869307,18:58:10,SESSION_START,
2026-09-22T19:03:12.069742,19:03:12,RECORDING_START,
2026-09-22T19:03:25.989770,19:03:25,BASELINE1_EC_START,
2026-09-22T19:04:06.491889,19:04:06,NOTE,ch 2 raramente aperdido
2026-09-22T19:04:24.378072,19:04:24,NOTE,ch2 y 4 inconstantes
2026-09-22T19:04:34.872966,19:04:34,BASELINE1_EC_END,
2026-09-22T19:04:37.939098,19:04:37,BASELINE1_EO_START,
2026-09-22T19:04:57.224131,19:04:57,NOTE,baseline eo en minuto 1 screen rec
2026-09-22T19:05:35.225098,19:05:35,BASELINE1_EO_END,
2026-09-22T19:06:22.327708,19:06:22,READING1_START,
2026-09-22T19:06:44.498437,19:06:44,NOTE,transiion reading
2026-09-22T19:07:02.014484,19:07:02,CAP_GREEN_STABLE,
2026-09-22T19:08:12.291757,19:08:12,NOTE,perdiendo ch 3
2026-09-22T19:08:26.358892,19:08:26,NOTE,perdiendo ch 5
2026-09-22T19:08:43.623692,19:08:43,NOTE,revisar min 5 50 ea 6 10 en video cara
2026-09-22T19:09:21.360060,19:09:21,NOTE,sutil mov de pies introdujo imoedancia mom
2026-09-22T19:11:01.842924,19:11:01,NOTE,4 20 en screen es lock in lectura 1
2026-09-22T19:11:24.242977,19:11:24,READING1_END,
2026-09-22T19:12:07.183309,19:12:07,SCROLL_FEED_START,
2026-09-22T19:12:22.908245,19:12:22,NOTE,empieza con feed en 4 44 en screen rec
2026-09-22T19:13:14.571791,19:13:14,NOTE,"ruido exgtremo, revisar recording de cara en 8 30"
2026-09-22T19:13:55.222342,19:13:55,NOTE,ch 2 3 5 peridendose
2026-09-22T19:14:33.865039,19:14:33,SCROLL_FEED_END,
2026-09-22T19:14:46.607384,19:14:46,SCROLL_REELS_START,
2026-09-22T19:15:23.483192,19:15:23,NOTE,6 50 en s rec son rrels
2026-09-22T19:16:04.732080,19:16:04,NOTE,perdida masiva de señal hace 20 secs
2026-09-22T19:16:14.511220,19:16:14,CAP_GREEN_STABLE,
2026-09-22T19:16:36.928810,19:16:36,NOTE,7 45 son reels en s rec
2026-09-22T19:17:14.455428,19:17:14,SCROLL_REELS_END,
2026-09-22T19:17:53.535105,19:17:53,BASELINE2_EC_START,
2026-09-22T19:18:09.064196,19:18:09,NOTE,perdimos ch 2 3 5
2026-09-22T19:18:31.218184,19:18:31,NOTE,8 18 en s rec es baeline ec
2026-09-22T19:18:58.865763,19:18:58,BASELINE2_EC_END,
2026-09-22T19:19:05.000751,19:19:05,BASELINE2_EO_START,
2026-09-22T19:19:38.047484,19:19:38,NOTE,ch 2 3 5 sin normalizarse again
2026-09-22T19:20:04.611938,19:20:04,NOTE,9 15 en s rec es baseline eo
2026-09-22T19:20:12.773427,19:20:12,BASELINE2_EO_END,
2026-09-22T19:20:44.581281,19:20:44,READING2_START,
2026-09-22T19:21:15.167515,19:21:15,NOTE,empieza a leer 2 en 10 20 s rec
2026-09-22T19:22:21.102772,19:22:21,NOTE,ch 5 se amplifico y lo recuperamos
2026-09-22T19:22:38.060525,19:22:38,NOTE,11 10 es buen reading signal
2026-09-22T19:23:10.549636,19:23:10,READING2_END,
2026-09-22T19:24:15.213392,19:24:15,POST_SURVEY_START,
2026-09-22T19:26:02.768756,19:26:02,POST_SURVEY_END,
2026-09-22T19:33:14.608623,19:33:14,SESSION_END,
