timestamp_iso,hora_legible,evento
2026-09-20T17:47:21.678264,17:47:21,SESSION_START
2026-09-20T17:47:25.149377,17:47:25,HAIR_CHECK_START
2026-09-20T17:47:38.907797,17:47:38,HAIR_CHECK_END
2026-09-20T17:47:43.975753,17:47:43,CAP_PLACEMENT_START
2026-09-20T17:48:01.935631,17:48:01,BASELINE1_EC_START
2026-09-20T17:48:07.807546,17:48:07,BASELINE1_EC_END
