timestamp_iso,hora_legible,evento,detalle
2026-09-22T18:16:23.236212,18:16:23,HAIR_CHECK_START,
2026-09-22T18:17:40.399649,18:17:40,CAP_PLACEMENT_START,
2026-09-22T18:22:26.089117,18:22:26,CAP_GREEN_STABLE,
2026-09-22T18:22:33.142754,18:22:33,RECORDING_START,
2026-09-22T18:22:54.445985,18:22:54,BASELINE1_EC_START,
2026-09-22T18:23:00.016398,18:23:00,CAP_GREEN_STABLE,
2026-09-22T18:23:54.050429,18:23:54,BASELINE1_EC_END,
2026-09-22T18:24:01.939010,18:24:01,BASELINE1_EO_START,
2026-09-22T18:24:17.208823,18:24:17,NOTE,sec 30 en screen es EO
2026-09-22T18:24:57.250878,18:24:57,BASELINE1_EO_END,
2026-09-22T18:25:56.842358,18:25:56,READING1_START,
2026-09-22T18:26:23.522116,18:26:23,NOTE,1 41 en video de cara es reading 1
2026-09-22T18:26:40.866961,18:26:40,NOTE,a partir de 1 10 en recording es reading 1
2026-09-22T18:27:34.726918,18:27:34,CAP_GREEN_STABLE,
2026-09-22T18:27:40.548291,18:27:40,NOTE,señal smamente buena
2026-09-22T18:27:48.528878,18:27:48,NOTE,"movió pies, hubo impedancia alta"
2026-09-22T18:30:11.198280,18:30:11,NOTE,minuto 4 de screen rec es ultimo min de lectura 1
2026-09-22T18:30:46.097135,18:30:46,NOTE,"actividad anormal, alta en la amplitud"
2026-09-22T18:30:59.380892,18:30:59,READING1_END,
2026-09-22T18:31:47.621236,18:31:47,SCROLL_FEED_START,
2026-09-22T18:32:11.512140,18:32:11,NOTE,"alta impedancia, por transición"
2026-09-22T18:32:14.777043,18:32:14,CAP_GREEN_STABLE,
2026-09-22T18:32:20.136910,18:32:20,NOTE,solo canal 5 perdido
2026-09-22T18:33:06.643101,18:33:06,NOTE,a partir de 5 55 en screen rec es scrollinf feed
2026-09-22T18:33:31.711499,18:33:31,NOTE,a partir de 4 54 en video cara es scrolling feed
2026-09-22T18:33:36.213448,18:33:36,CAP_GREEN_STABLE,
2026-09-22T18:34:49.209849,18:34:49,SCROLL_FEED_END,
2026-09-22T18:35:05.125536,18:35:05,SCROLL_REELS_START,
2026-09-22T18:35:20.809602,18:35:20,NOTE,a partir de 7 58 en video recording es reels
2026-09-22T18:35:36.712968,18:35:36,NOTE,a partir de 7 00 en video cara es reels
2026-09-22T18:37:21.516920,18:37:21,NOTE,"canal 5 altamente estimulado, por???"
2026-09-22T18:37:59.299515,18:37:59,SCROLL_REELS_END,
2026-09-22T18:38:39.980956,18:38:39,BASELINE2_EC_START,
2026-09-22T18:39:30.195276,18:39:30,NOTE,se rasco hace 30 secs
2026-09-22T18:39:47.634157,18:39:47,BASELINE2_EC_END,
2026-09-22T18:39:49.030256,18:39:49,BASELINE2_EO_START,
2026-09-22T18:40:19.173504,18:40:19,NOTE,a partir de 10 50 es reposo EO 2
2026-09-22T18:40:49.887899,18:40:49,BASELINE2_EO_END,
2026-09-22T18:41:21.479488,18:41:21,READING2_START,
2026-09-22T18:41:50.297468,18:41:50,NOTE,a partir de 11 25 es lectura 2
2026-09-22T18:42:27.155725,18:42:27,NOTE,n
2026-09-22T18:42:40.134938,18:42:40,NOTE,ch 5 lost
2026-09-22T18:45:12.130543,18:45:12,NOTE,"ch 5 sin regresar, sin razón aparente"
2026-09-22T18:45:55.552020,18:45:55,NOTE,notable baja en amplitud a partir de este punto se ve en 16 min en recording de screen
2026-09-22T18:46:18.113219,18:46:18,READING2_END,
2026-09-22T18:46:53.507168,18:46:53,NOTE,recording stopped
2026-09-22T18:48:42.600052,18:48:42,POST_SURVEY_START,
2026-09-22T18:55:42.293110,18:55:42,SESSION_END,
