timestamp_iso,hora_legible,evento,detalle
2026-09-24T12:37:36.481729,12:37:36,HAIR_CHECK_END,
2026-09-24T12:38:41.036289,12:38:41,CAP_GREEN_STABLE,
2026-09-24T12:38:59.579942,12:38:59,RECORDING_START,
2026-09-24T12:39:10.485134,12:39:10,BASELINE1_EC_START,
2026-09-24T12:39:19.821377,12:39:19,CAP_GREEN_STABLE,
2026-09-24T12:39:42.560391,12:39:42,NOTE,recording atrasado por 4 ish segundos
2026-09-24T12:40:14.849781,12:40:14,NOTE,tiende a moverse
2026-09-24T12:40:17.471246,12:40:17,BASELINE1_EC_END,
2026-09-24T12:40:19.541934,12:40:19,BASELINE1_EO_START,
2026-09-24T12:40:35.759708,12:40:35,NOTE,0 51 en s rec buen baseline eo
2026-09-24T12:41:17.675177,12:41:17,BASELINE1_EO_END,
2026-09-24T12:42:23.619382,12:42:23,READING1_START,
2026-09-24T12:42:40.469509,12:42:40,NOTE,1 30 reading 1
2026-09-24T12:42:48.697140,12:42:48,NOTE,ch 7 unico malo
2026-09-24T12:43:44.961466,12:43:44,NOTE,2 31 buen baseline reading 1
2026-09-24T12:44:04.145134,12:44:04,NOTE,ch 1 sin recuperarse
2026-09-24T12:44:35.371574,12:44:35,NOTE,3 06 ultimo minuto reading 1
2026-09-24T12:44:57.395015,12:44:57,NOTE,"ch 5 bastante mitigado, por (?)"
2026-09-24T12:45:26.195518,12:45:26,READING1_END,
2026-09-24T12:46:21.576751,12:46:21,SCROLL_FEED_START,
2026-09-24T12:46:55.621464,12:46:55,NOTE,"ch 3 5 7 perdidos, sin cambio postural grande"
2026-09-24T12:47:49.475005,12:47:49,NOTE,"4 02 scroll feed, con ruido"
2026-09-24T12:48:56.475746,12:48:56,SCROLL_FEED_END,
2026-09-24T12:49:04.639753,12:49:04,SCROLL_REELS_START,
2026-09-24T12:49:41.244696,12:49:41,NOTE,"min 5 scroll feed, ruidoso"
2026-09-24T12:50:00.421084,12:50:00,NOTE,5 19 meora scrool reels
2026-09-24T12:50:05.666444,12:50:05,CAP_GREEN_STABLE,
2026-09-24T12:50:54.939509,12:50:54,NOTE,5 49 mejor señal reels
2026-09-24T12:51:03.886092,12:51:03,CAP_GREEN_STABLE,
2026-09-24T12:51:45.356454,12:51:45,NOTE,"6 20 señal muy casi optima reels, canales 3 y 5 extrañamante ruidosos"
2026-09-24T12:52:03.879809,12:52:03,SCROLL_REELS_END,
2026-09-24T12:52:53.804919,12:52:53,BASELINE2_EC_START,
2026-09-24T12:53:28.437172,12:53:28,NOTE,ch 3 5 y 7 completamente perdidos
2026-09-24T12:53:33.155317,12:53:33,NOTE,rasca nariz
2026-09-24T12:53:59.087639,12:53:59,BASELINE2_EC_END,
2026-09-24T12:54:03.838852,12:54:03,BASELINE2_EO_START,
2026-09-24T12:54:38.098785,12:54:38,NOTE,8 08 mejor señal aparente
2026-09-24T12:54:56.167533,12:54:56,BASELINE2_EO_END,
2026-09-24T12:55:33.822810,12:55:33,READING2_START,
2026-09-24T12:56:54.721417,12:56:54,NOTE,"ggs mucho ruido de fondo, a considerar"
2026-09-24T12:57:15.877264,12:57:15,CAP_GREEN_STABLE,
2026-09-24T12:57:34.947764,12:57:34,CAP_GREEN_STABLE,
2026-09-24T12:58:08.714440,12:58:08,READING2_END,
2026-09-24T12:58:14.515564,12:58:14,SESSION_END,
