timestamp_iso,hora_legible,evento,detalle
2026-09-22T11:17:54.536319,11:17:54,SESSION_START,
2026-09-22T11:17:57.190701,11:17:57,HAIR_CHECK_END,
2026-09-22T11:19:04.298165,11:19:04,CAP_GREEN_STABLE,
2026-09-22T11:19:13.586034,11:19:13,RECORDING_START,
2026-09-22T11:19:29.635960,11:19:29,BASELINE1_EC_START,
2026-09-22T11:19:57.531188,11:19:57,NOTE,"impedancia masivamente mala, por mejorar"
2026-09-22T11:20:25.853532,11:20:25,BASELINE1_EC_END,
2026-09-22T11:20:34.405057,11:20:34,BASELINE1_EO_START,
2026-09-22T11:20:58.239946,11:20:58,NOTE,impedancia intermitentem sin movimiento de cabeza
2026-09-22T11:21:26.875732,11:21:26,BASELINE1_EO_END,
2026-09-22T11:22:01.157972,11:22:01,READING1_START,
2026-09-22T11:23:10.694059,11:23:10,NOTE,"impedancia intermitente, pero muy buena cuando se recupera."
2026-09-22T11:24:04.006521,11:24:04,NOTE,"sin aparende sincronización, pero la amplitud se ve exhacerbada."
2026-09-22T11:25:15.512756,11:25:15,NOTE,"impedancia casi inexistente, es clave."
2026-09-22T11:25:36.405728,11:25:36,NOTE,"ruido de fondo, una chava con su cel, increíble."
2026-09-22T11:25:50.655602,11:25:50,NOTE,"pérdida de ch 5,"
2026-09-22T11:26:34.265629,11:26:34,READING1_END,
2026-09-22T11:27:23.614739,11:27:23,CAP_GREEN_STABLE,
2026-09-22T11:27:33.951226,11:27:33,SCROLL_FEED_START,
2026-09-22T11:28:18.862238,11:28:18,NOTE,n
2026-09-22T11:28:41.147434,11:28:41,CAP_GREEN_STABLE,
2026-09-22T11:28:56.663407,11:28:56,NOTE,"movimiento, pérdida de canales"
2026-09-22T11:29:00.542082,11:29:00,CAP_GREEN_STABLE,
2026-09-22T11:29:06.021120,11:29:06,NOTE,WTF
2026-09-22T11:29:20.979715,11:29:20,CAP_GREEN_STABLE,
2026-09-22T11:30:25.592737,11:30:25,SCROLL_FEED_END,
2026-09-22T11:30:36.134041,11:30:36,SCROLL_REELS_START,
2026-09-22T11:30:55.697346,11:30:55,NOTE,pérdida de calidad por cambio
2026-09-22T11:31:39.300311,11:31:39,NOTE,5
2026-09-22T11:32:06.032031,11:32:06,NOTE,"de nuevo ruidosa, a evaluar si es por ruido de parpadeos o bocinas.,"
2026-09-22T11:32:44.892170,11:32:44,CAP_GREEN_STABLE,
2026-09-22T11:33:00.713585,11:33:00,NOTE,movimiento sutil de pies introdujo ruido
2026-09-22T11:33:05.413135,11:33:05,CAP_GREEN_STABLE,
2026-09-22T11:33:35.373314,11:33:35,SCROLL_REELS_END,
2026-09-22T11:34:34.643561,11:34:34,BASELINE2_EC_START,
2026-09-22T11:34:40.442281,11:34:40,CAP_GREEN_STABLE,
2026-09-22T11:35:38.905889,11:35:38,BASELINE1_EC_END,
2026-09-22T11:35:47.965135,11:35:47,BASELINE1_EO_START,
2026-09-22T11:36:38.809968,11:36:38,NOTE,"impedancia fatal, sin movimiento"
2026-09-22T11:36:47.103278,11:36:47,BASELINE2_EO_END,
2026-09-22T11:37:04.180520,11:37:04,NOTE,la cague con marketrs
2026-09-22T11:37:28.987822,11:37:28,READING2_START,
2026-09-22T11:37:46.255764,11:37:46,CAP_GREEN_STABLE,
2026-09-22T11:38:58.559125,11:38:58,NOTE,"impedancia por movimiento, más que nada ocular."
2026-09-22T11:39:26.066421,11:39:26,NOTE,posiblemente también por respiraciones fuertes
2026-09-22T11:39:33.729918,11:39:33,CAP_GREEN_STABLE,
2026-09-22T11:39:58.534422,11:39:58,NOTE,otra pérdida intermitente por movimiento de pies
2026-09-22T11:40:11.535376,11:40:11,CAP_GREEN_STABLE,
2026-09-22T11:40:17.109947,11:40:17,NOTE,nope
2026-09-22T11:40:50.598201,11:40:50,CAP_GREEN_STABLE,
2026-09-22T11:41:36.314336,11:41:36,READING2_END,
2026-09-22T11:47:51.655758,11:47:51,SESSION_END,
