timestamp_iso,hora_legible,evento,detalle
2026-09-22T17:32:43.104384,17:32:43,CAP_PLACEMENT_START,
2026-09-22T17:32:55.168632,17:32:55,CAP_GREEN_STABLE,
2026-09-22T17:33:09.405409,17:33:09,RECORDING_START,
2026-09-22T17:33:14.444621,17:33:14,BASELINE1_EC_START,
2026-09-22T17:33:41.294390,17:33:41,NOTE,unico canal perdido el 4
2026-09-22T17:34:12.071340,17:34:12,BASELINE1_EC_END,
2026-09-22T17:34:18.456055,17:34:18,BASELINE1_EO_START,
2026-09-22T17:35:13.891597,17:35:13,BASELINE1_EO_END,
2026-09-22T17:36:25.279903,17:36:25,CAP_GREEN_STABLE,
2026-09-22T17:36:26.974848,17:36:26,READING1_START,
2026-09-22T17:36:59.381567,17:36:59,CAP_GREEN_STABLE,
2026-09-22T17:37:17.505155,17:37:17,NOTE,255 de video reading 1
2026-09-22T17:38:10.034898,17:38:10,NOTE,grBACION CON CEL A LAS 17:36
2026-09-22T17:38:43.962050,17:38:43,NOTE,"excelente señal en promedio, durante lectura."
2026-09-22T17:40:30.068378,17:40:30,READING1_END,
2026-09-22T17:41:05.568858,17:41:05,CAP_GREEN_STABLE,
2026-09-22T17:41:11.922566,17:41:11,SCROLL_FEED_START,
2026-09-22T17:41:46.848437,17:41:46,NOTE,impedancia por subir volumen
2026-09-22T17:42:42.792483,17:42:42,CAP_GREEN_STABLE,
2026-09-22T17:42:52.456020,17:42:52,NOTE,"excelente señal, es clave, tomar medidas de cabeza de fic"
2026-09-22T17:44:05.144490,17:44:05,NOTE,"impedancia anormal, no sé pq"
2026-09-22T17:44:10.003526,17:44:10,SCROLL_FEED_END,
2026-09-22T17:44:52.615214,17:44:52,NOTE,ruido introducido por cambio a reels
2026-09-22T17:45:02.688415,17:45:02,NOTE,minuto 8 en screen recording son reels
2026-09-22T17:45:57.397169,17:45:57,SCROLL_REELS_START,
2026-09-22T17:47:08.619128,17:47:08,SCROLL_REELS_END,
2026-09-22T17:47:50.816003,17:47:50,BASELINE2_EC_START,
2026-09-22T17:48:26.558472,17:48:26,NOTE,a partir de 11:05 en screen rec es baseline cerrados
2026-09-22T17:48:51.641694,17:48:51,BASELINE2_EC_END,
2026-09-22T17:48:56.737112,17:48:56,BASELINE2_EO_START,
2026-09-22T17:49:32.101096,17:49:32,NOTE,1157 en baseline 2 es ojos abiertos
2026-09-22T17:49:54.466131,17:49:54,BASELINE2_EO_END,
2026-09-22T17:50:17.192240,17:50:17,CAP_GREEN_STABLE,
2026-09-22T17:50:20.850100,17:50:20,READING2_START,
2026-09-22T17:50:34.144130,17:50:34,NOTE,13 10 inicia a leer 2 en screen recording
2026-09-22T17:50:58.757164,17:50:58,NOTE,8 39 en video de cara empieza a leer
2026-09-22T17:52:40.543376,17:52:40,CAP_GREEN_STABLE,
2026-09-22T17:52:49.613911,17:52:49,NOTE,"excelente señal, analizable, es clave, es oro"
2026-09-22T17:54:07.575008,17:54:07,NOTE,en 16 30 baja en amplitud a primera vista en screen rec
2026-09-22T17:54:55.211012,17:54:55,READING2_END,
2026-09-22T17:55:06.540094,17:55:06,POST_SURVEY_START,
2026-09-22T17:57:25.708054,17:57:25,POST_SURVEY_END,
2026-09-22T18:14:35.187305,18:14:35,SESSION_END,
