timestamp_iso,hora_legible,evento
2026-09-20T17:51:28.522197,17:51:28,JAW_CLENCH
2026-09-20T17:51:30.052969,17:51:30,BASELINE1_EC_START
2026-09-20T17:51:38.188962,17:51:38,REDIRECT_REELS
2026-09-20T17:51:44.595098,17:51:44,NOTE
